run,n_turns,mean_seconds
zero_shot_1,1,17.397855
zero_shot_2,1,11.814741
zero_shot_3,1,14.903737
zero_shot_4,1,13.815041
zero_shot_5,1,10.411342
zero_shot_6,1,5.030014
zero_shot_7,1,10.483256
zero_shot_8,1,7.713529
zero_shot_9,1,14.687641
zero_shot_10,1,9.725580
zero_shot_11,1,12.398203
zero_shot_12,1,15.969575
zero_shot_13,1,13.906325
zero_shot_14,1,8.712642
zero_shot_15,1,15.844809
zero_shot_16,1,14.856819
zero_shot_17,1,11.212584
zero_shot_18,1,11.308004
zero_shot_19,1,8.640327
zero_shot_20,1,10.718083
