2026-08-25 18:37:14 | INFO | gradio_web_server | args: Namespace(host='0.0.0.0', port=8000, controller_url='http://localhost:10000', concurrency_count=16, share=False, vocoder_dir='models/cosy2_decoder', hop_len=10, load_onnx=False)
2026-08-25 18:37:27 | ERROR | stderr | /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/diffusers/models/lora.py:393: FutureWarning: `LoRACompatibleLinear` is deprecated and will be removed in version 1.0.0. Use of `LoRACompatibleLinear` is deprecated. Please switch to PEFT backend by installing PEFT: `pip install peft`.
2026-08-25 18:37:27 | ERROR | stderr |   deprecate("LoRACompatibleLinear", "1.0.0", deprecation_message)
2026-08-25 18:37:28 | ERROR | stderr | /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/torch/nn/utils/weight_norm.py:28: UserWarning: torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm.
2026-08-25 18:37:28 | ERROR | stderr |   warnings.warn("torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm.")
2026-08-25 18:37:28 | ERROR | stderr | /DATA/carer.ai/LLaMA-Omni2-main/cosyvoice/dataset/processor.py:24: UserWarning: torchaudio._backend.set_audio_backend has been deprecated. With dispatcher enabled, this function is no-op. You can remove the function call.
2026-08-25 18:37:28 | ERROR | stderr |   torchaudio.set_audio_backend('soundfile')
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,211 WETEXT INFO found existing fst: /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/tn/zh_tn_tagger.fst
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,212 WETEXT INFO                     /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/tn/zh_tn_verbalizer.fst
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,212 WETEXT INFO skip building fst for zh_normalizer ...
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,466 WETEXT INFO found existing fst: /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/tn/en_tn_tagger.fst
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,466 WETEXT INFO                     /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/tn/en_tn_verbalizer.fst
2026-08-25 18:37:33 | ERROR | stderr | 2026-08-25 18:37:33,466 WETEXT INFO skip building fst for en_normalizer ...
2026-08-25 18:37:37 | INFO | gradio_web_server | Namespace(host='0.0.0.0', port=8000, controller_url='http://localhost:10000', concurrency_count=16, share=False, vocoder_dir='models/cosy2_decoder', hop_len=10, load_onnx=False)
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:10000
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:10000
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | http://localhost:10000 "POST /refresh_all_workers HTTP/1.1" 200 4
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | http://localhost:10000 "POST /refresh_all_workers HTTP/1.1" 200 4
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:10000
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:10000
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | http://localhost:10000 "POST /list_models HTTP/1.1" 200 13
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | http://localhost:10000 "POST /list_models HTTP/1.1" 200 13
2026-08-25 18:37:37 | INFO | gradio_web_server | Models: []
2026-08-25 18:37:37 | DEBUG | asyncio | Using selector: EpollSelector
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): huggingface.co:443
2026-08-25 18:37:37 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): huggingface.co:443
2026-08-25 18:37:37 | DEBUG | httpcore.connection | connect_tcp.started host='api.gradio.app' port=443 local_address=None timeout=3 socket_options=None
2026-08-25 18:37:38 | ERROR | stderr | /DATA/hnc/conda_envs/llama-omni2/lib/python3.10/site-packages/gradio/components/dropdown.py:226: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2026-08-25 18:37:38 | ERROR | stderr |   warnings.warn(
2026-08-25 18:37:38 | INFO | stdout | * Running on local URL:  http://0.0.0.0:8000
2026-08-25 18:37:38 | DEBUG | httpcore.connection | connect_tcp.started host='localhost' port=8000 local_address=None timeout=None socket_options=None
2026-08-25 18:37:38 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x795b9235feb0>
