run,n_turns,mean_seconds
zero_shot_50,1,3.803725
zero_shot_51,1,8.582193
zero_shot_52,1,6.991397
zero_shot_53,1,5.140427
zero_shot_54,1,3.707971
zero_shot_55,1,5.786771
zero_shot_56,1,4.215360
zero_shot_57,1,3.141703
zero_shot_58,1,7.969408
zero_shot_59,1,4.465461
zero_shot_60,1,3.667916
zero_shot_61,1,7.460557
zero_shot_62,1,3.096509
zero_shot_63,1,8.722306
zero_shot_64,1,3.682799
zero_shot_65,1,4.329463
zero_shot_66,1,6.608879
zero_shot_67,1,15.195997
zero_shot_68,1,6.149947
zero_shot_69,1,4.602911
zero_shot_70,1,7.413330
zero_shot_71,1,5.068789
zero_shot_72,1,4.847517
zero_shot_73,1,2.680571
zero_shot_74,1,3.859601
zero_shot_75,1,8.097561
zero_shot_76,1,4.127606
zero_shot_77,1,4.612294
zero_shot_78,1,2.587985
zero_shot_79,1,6.943841
zero_shot_80,1,5.403431
