run,n_turns,mean_seconds
zero_shot_62,1,6.919013
zero_shot_63,1,5.318923
zero_shot_64,1,5.281646
zero_shot_65,1,4.893370
zero_shot_66,1,5.273149
zero_shot_67,1,6.104448
zero_shot_68,1,8.367027
zero_shot_69,1,7.535113
zero_shot_70,1,4.089265
zero_shot_71,1,9.759875
zero_shot_72,1,5.425126
zero_shot_73,1,7.083046
zero_shot_74,1,3.740636
zero_shot_75,1,7.421412
zero_shot_76,1,6.710220
zero_shot_77,1,4.805702
zero_shot_78,1,11.378938
zero_shot_79,1,5.623432
zero_shot_80,1,7.711915
